
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos| 1729680662255 |       9510 |        271 |       0.89
| nfvha-comp-07.oot.lab.eng.bos| 1729681402263 |       9511 |        272 |       0.79
| nfvha-comp-07.oot.lab.eng.bos| 1729681612285 |       9512 |        273 |       0.68
| nfvha-comp-07.oot.lab.eng.bos| 1729682292597 |       9513 |        274 |       0.87
| nfvha-comp-07.oot.lab.eng.bos| 1729682762450 |       9514 |        275 |       0.62
| nfvha-comp-07.oot.lab.eng.bos| 1729683172701 |       9515 |        276 |       0.76
| nfvha-comp-07.oot.lab.eng.bos| 1729683332737 |       9516 |        277 |       0.65
| nfvha-comp-07.oot.lab.eng.bos| 1729683402900 |       9517 |        278 |       0.68
| nfvha-comp-07.oot.lab.eng.bos| 1729683753028 |       9518 |        279 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729684353491 |       9519 |        280 |       0.97
| nfvha-comp-07.oot.lab.eng.bos| 1729685183353 |       9520 |        281 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729685783445 |       9521 |        282 |       0.71
| nfvha-comp-07.oot.lab.eng.bos| 1729686053610 |       9522 |        283 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729686993732 |       9523 |        284 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729687524096 |       9524 |        285 |       0.95
| nfvha-comp-07.oot.lab.eng.bos| 1729687604149 |       9525 |        286 |       0.90
| nfvha-comp-07.oot.lab.eng.bos| 1729688514134 |       9526 |        287 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729689074539 |       9527 |        288 |       1.11
| nfvha-comp-07.oot.lab.eng.bos| 1729689164512 |       9528 |        289 |       0.94
| nfvha-comp-07.oot.lab.eng.bos| 1729689864512 |       9529 |        290 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729689954526 |       9530 |        291 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729690664670 |       9531 |        292 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729691274658 |       9532 |        293 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729691774699 |       9533 |        294 |       0.64
| nfvha-comp-07.oot.lab.eng.bos| 1729692694760 |       9534 |        295 |       0.63
| nfvha-comp-07.oot.lab.eng.bos| 1729692974881 |       9535 |        296 |       0.62
| nfvha-comp-07.oot.lab.eng.bos| 1729693535339 |       9536 |        297 |       0.97
| nfvha-comp-07.oot.lab.eng.bos| 1729694115148 |       9537 |        298 |       0.65
| nfvha-comp-07.oot.lab.eng.bos| 1729694425378 |       9538 |        299 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729694975434 |       9539 |        300 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729695725507 |       9540 |        301 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729695895609 |       9541 |        302 |       0.63
| nfvha-comp-07.oot.lab.eng.bos| 1729696025847 |       9542 |        303 |       0.71
